App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/credits/CreditsControllerTest.java,src/test/java/timelessodyssey/control/credits/CreditsControllerTest.java,src/main/java/timelessodyssey/control/credits/CreditsController.java,,,4,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/game/ParticleControllerTest.java,src/test/java/timelessodyssey/control/game/ParticleControllerTest.java,src/main/java/timelessodyssey/control/game/ParticleController.java,,,3,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/game/PlayerControllerTest.java,src/test/java/timelessodyssey/control/game/PlayerControllerTest.java,src/main/java/timelessodyssey/control/game/PlayerController.java,,,6,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/game/SceneControllerTest.java,src/test/java/timelessodyssey/control/game/SceneControllerTest.java,src/main/java/timelessodyssey/control/game/SceneController.java,,,6,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/menu/EntryControllerTest.java,src/test/java/timelessodyssey/control/menu/EntryControllerTest.java,src/main/java/timelessodyssey/control/menu/EntryController.java,,,5,false,false,false,false,false,true,true,false,false,false,false,true,false,true,true,false,true,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/menu/MainMenuControllerTest.java,src/test/java/timelessodyssey/control/menu/MainMenuControllerTest.java,src/main/java/timelessodyssey/control/menu/MainMenuController.java,,,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/menu/MenuControllerTest.java,src/test/java/timelessodyssey/control/menu/MenuControllerTest.java,src/main/java/timelessodyssey/control/menu/MenuController.java,,,2,false,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/control/menu/SettingsMenuControllerTest.java,src/test/java/timelessodyssey/control/menu/SettingsMenuControllerTest.java,src/main/java/timelessodyssey/control/menu/SettingsMenuController.java,,,2,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/model/game/elements/player/AfterDashStateTest.java,src/test/java/timelessodyssey/model/game/elements/player/AfterDashStateTest.java,src/main/java/timelessodyssey/model/game/elements/player/AfterDashState.java,,,2,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/model/game/elements/player/DashingStateTest.java,src/test/java/timelessodyssey/model/game/elements/player/DashingStateTest.java,src/main/java/timelessodyssey/model/game/elements/player/DashingState.java,,,2,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/model/game/elements/player/DeadStateTest.java,src/test/java/timelessodyssey/model/game/elements/player/DeadStateTest.java,src/main/java/timelessodyssey/model/game/elements/player/DeadState.java,,,8,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/model/game/elements/player/FallingStateTest.java,src/test/java/timelessodyssey/model/game/elements/player/FallingStateTest.java,src/main/java/timelessodyssey/model/game/elements/player/FallingState.java,,,3,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false
Timeless-Odyssey-Testing-TVVS,src/test/java/timelessodyssey/model/game/elements/player/IdleStateTest.java,src/test/java/timelessodyssey/model/game/elements/player/IdleStateTest.java,src/main/java/timelessodyssey/model/game/elements/player/IdleState.java,,,3,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false
